,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,irradiance_global_horizontal,irradiance_direct_normal 
3711,54.499620280933485,54.522374605439836,35.500379719066515,35.477625394560164,262.0245381909199,1.6656136854871875,2023-06-04 15:00,2023-06-04 16:00,0.593,0.554,0.085,18.02,0.639,0.9540072894194622
3712,63.85133848777693,63.884316462233855,26.148661512223075,26.11568353776614,273.9483701731065,1.6584963417044492,2023-06-04 16:00,2023-06-04 17:00,0.463,0.408,0.081,17.425,0.489,0.9257962733598618
3713,73.0712377799053,73.12391904659319,16.928762220094697,16.876080953406813,285.06420053423597,1.6513691142536118,2023-06-04 17:00,2023-06-04 18:00,0.312,0.251,0.076,16.538,0.327,0.8620024323864389
3714,81.79115434352829,81.89690950105646,8.208845656471706,8.10309049894354,296.0598380811381,1.6442320195856155,2023-06-04 18:00,2023-06-04 19:00,0.156,0.105,0.065,15.231,0.16999999999999998,0.7353881555105396
3715,89.41277608152548,89.86709969382778,0.5872239184745183,0.132900306172216,307.429959467274,1.6370850741441245,2023-06-04 19:00,2023-06-04 20:00,0.029,0.013,0.029,13.305,0.042,
3716,96.67022312633098,96.67022312633098,-6.670223126330983,-6.670223126330983,319.52444226214203,1.6299282946420135,2023-06-04 20:00,2023-06-04 21:00,0.0,0.0,0.0,11.73,0.0,-0.0
3717,101.91112311642043,101.91112311642043,-11.911123116420427,-11.911123116420427,332.5234134376301,1.6227616975447745,2023-06-04 21:00,2023-06-04 22:00,0.0,0.0,0.0,11.015,0.0,-0.0
3718,105.20359874264666,105.20359874264666,-15.203598742646662,-15.203598742646662,346.3682428093674,1.6155852993615554,2023-06-04 22:00,2023-06-04 23:00,0.0,0.0,0.0,10.384,0.0,-0.0
3719,106.25512577752585,106.25512577752585,-16.255125777525848,-16.255125777525848,0.7201682621180794,1.608399116943474,2023-06-04 23:00,2023-06-05 00:00,0.0,0.0,0.0,9.846,0.0,-0.0
3720,104.96237655767511,104.96237655767511,-14.962376557675109,-14.962376557675109,15.041925251896146,1.6012031668215059,2023-06-05 00:00,2023-06-05 01:00,0.0,0.0,0.0,9.574,0.0,-0.0
3721,101.45148718738835,101.45148718738835,-11.451487187388345,-11.451487187388345,28.808434298522002,1.5939974656066624,2023-06-05 01:00,2023-06-05 02:00,0.0,0.0,0.0,9.452,0.0,-0.0
3722,96.0292961486915,96.0292961486915,-6.029296148691504,-6.029296148691504,41.70868841567824,1.5867820301937172,2023-06-05 02:00,2023-06-05 03:00,0.0,0.0,0.0,9.364,0.0,-0.0
3723,88.71784353031505,89.08603195870303,1.282156469684952,0.9139680412969687,53.711723212453876,1.5795568772009574,2023-06-05 03:00,2023-06-05 04:00,0.0,0.0,0.0,9.343,0.0,0.0
3724,80.91598787184057,81.01441705623218,9.084012128159431,8.98558294376783,65.0176592163433,1.5723220233849133,2023-06-05 04:00,2023-06-05 05:00,0.026,0.008,0.03,9.661,0.038,0.05067058331607916
3725,72.1237662398521,72.17464256784476,17.876233760147894,17.825357432155243,75.99076729796047,1.5650774856330827,2023-06-05 05:00,2023-06-05 06:00,0.135,0.065,0.081,10.554,0.14600000000000002,0.21175268388764398
3726,62.86857381624007,62.90082789991936,27.131426183759928,27.099172100080633,87.14116116890432,1.5578232807529275,2023-06-05 06:00,2023-06-05 07:00,0.314,0.237,0.085,11.708,0.322,0.5196991048348887
3727,53.51802149442682,53.54036707271935,36.48197850557318,36.45963292728065,99.18175010667511,1.5505594255009783,2023-06-05 07:00,2023-06-05 08:00,0.471,0.401,0.085,12.94,0.48600000000000004,0.674437082581295
3728,44.51714025474289,44.53335107083153,45.48285974525711,45.46664892916847,113.1731488389434,1.5432859369611833,2023-06-05 08:00,2023-06-05 09:00,0.603,0.55,0.088,14.073,0.638,0.7713444282525117
3729,36.5495385147422,36.561726023657506,53.4504614852578,53.438273976342494,130.7026588720584,1.5360028319337289,2023-06-05 09:00,2023-06-05 10:00,0.698,0.66,0.094,15.033,0.754,0.8215676235857755
3730,30.760672644048533,30.770428157058852,59.23932735595147,59.22957184294115,153.57308273431113,1.5287101273497683,2023-06-05 10:00,2023-06-05 11:00,0.766,0.747,0.096,15.914,0.843,0.8693009444310937
